               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052222,            0.024125,             0.06415,           0.0067764,             0.95281,            0.036863,              0.0208,            0.011915,           0.0085818,            0.030252,            0.070226,           0.0033083,           0.0033083
                   1,            0.033905,            0.017405,            0.061098,            0.013838,             0.99767,            0.069386,            0.053849,           0.0078843,           0.0045288,            0.029118,             0.04016,           0.0065759,           0.0065759
                   2,            0.030031,            0.013797,            0.059657,            0.013963,             0.99302,            0.046972,            0.033065,           0.0088944,           0.0034283,            0.029057,            0.010028,           0.0097774,           0.0097774
                   3,            0.026099,             0.01265,            0.059733,            0.018139,             0.98568,            0.053716,             0.03419,            0.011369,           0.0031206,            0.028965,            0.009703,            0.009703,            0.009703
                   4,            0.023589,            0.012103,            0.059534,            0.017406,             0.97209,            0.081902,            0.041482,            0.013612,           0.0030232,            0.028572,            0.009703,            0.009703,            0.009703
                   5,            0.021095,            0.010737,            0.058056,            0.021064,             0.99767,             0.12346,             0.10195,            0.005662,           0.0022095,            0.027947,            0.009604,            0.009604,            0.009604
                   6,            0.020398,              0.0104,            0.057968,            0.020346,             0.99767,             0.13161,            0.088308,           0.0063801,           0.0028855,            0.027259,            0.009505,            0.009505,            0.009505
                   7,            0.019137,            0.010044,              0.0551,             0.68632,             0.17576,             0.14844,             0.10974,           0.0072887,           0.0022887,            0.025543,            0.009406,            0.009406,            0.009406
                   8,            0.019017,             0.01001,            0.054896,             0.62554,             0.21749,             0.15788,             0.11842,           0.0064155,           0.0020632,            0.024615,            0.009307,            0.009307,            0.009307
                   9,            0.016206,           0.0092256,            0.052415,             0.54381,             0.27634,             0.15341,             0.12076,           0.0067206,           0.0022243,             0.02404,            0.009208,            0.009208,            0.009208
                  10,            0.016942,           0.0091334,            0.051933,             0.53161,             0.34345,             0.18539,             0.14431,           0.0055775,           0.0021815,            0.023082,            0.009109,            0.009109,            0.009109
                  11,            0.015856,           0.0092306,            0.050906,             0.53332,             0.36049,             0.18872,              0.1471,           0.0058135,           0.0019044,            0.022255,             0.00901,             0.00901,             0.00901
                  12,            0.016273,           0.0089835,             0.04953,             0.55299,              0.4359,             0.21863,             0.18015,            0.005371,           0.0018208,            0.021655,            0.008911,            0.008911,            0.008911
                  13,              0.0152,           0.0085317,            0.048499,               0.492,             0.42269,             0.22921,             0.18465,            0.005197,           0.0016791,             0.02118,            0.008812,            0.008812,            0.008812
                  14,            0.015437,           0.0080846,            0.047418,              0.4291,             0.57345,             0.24994,             0.21542,            0.004539,           0.0020804,            0.020689,            0.008713,            0.008713,            0.008713
                  15,            0.016987,           0.0083077,            0.048581,             0.41492,             0.53143,              0.2527,             0.22077,           0.0044893,           0.0019473,            0.020531,            0.008614,            0.008614,            0.008614
                  16,            0.015419,            0.008287,            0.047008,             0.50093,             0.51647,             0.22296,             0.18196,            0.005418,           0.0018717,            0.020266,            0.008515,            0.008515,            0.008515
                  17,            0.013872,           0.0078725,              0.0455,             0.48425,             0.57244,             0.26565,             0.22303,           0.0046044,           0.0019934,            0.020163,            0.008416,            0.008416,            0.008416
                  18,            0.014469,           0.0078729,            0.046886,             0.40268,             0.63435,             0.26986,             0.22524,           0.0059661,           0.0016923,            0.020012,            0.008317,            0.008317,            0.008317
                  19,            0.013187,           0.0075861,            0.043523,             0.39381,             0.62294,             0.27434,             0.23985,           0.0048256,           0.0018049,            0.019786,            0.008218,            0.008218,            0.008218
